Reading
17
52
Dual Passage		42 43 44 45 46 47 48 49 50 51 52
Comparing Authors	49 50 52
Elimination	
Entire Passage		1 2 32 
Pre-Followup	
Followup		5 10 14 17 30 37 39 44 51
Flipped Questions	
General Theme		6 33 47
Given Line		9 16 19 22 23 26 27 31 38 40 41 46 50
Graphs			20 21 28 29 30 31
Implied Line		4 13 24 25 35 36 43 52
Imply / Suggest / Infer	15 21 26 50
Lines / Paragraph	7 11 15 24 25 42
Rhetoric		11 19 22 23 25 27 29 34 41 42 46
Vocabulary		3 8 12 18 45 48
Buzz Words	
Extremes	
1	B
2	B
3	C
4	A
5	C
6	D
7	D
8	B
9	C
10	B
11	A
12	B
13	D
14	A
15	A
16	C
17	C
18	D
19	A
20	B
21	A
22	B
23	D
24	D
25	C
26	B
27	D
28	C
29	A
30	A
31	D
32	B
33	A
34	C
35	B
36	D
37	C
38	C
39	B
40	C
41	B
42	B
43	A
44	A
45	D
46	C
47	B
48	A
49	D
50	B
51	D
52	A
